"","state","attack"
"1","Andhra pradesh",41
"2","Andhra Pradesh",220
"3","Arunachal Pradesh",12
"4","Assam",1061
"5","Bihar",562
"6","Chandigarh",47
"7","Chhattisgarh",654
"8","Delhi",203
"9","Goa",5
"10","Gujarat",62
"11","Haryana",43
"12","Himachal Pradesh",23
"13","Jammu and Kashmir",1993
"14","Jharkhand",706
"15","Karnataka",59
"16","Kerala",58
"17","Madhya Pradesh",57
"18","Maharashtra",261
"19","Malkangiri",1
"20","Manipur",883
"21","Meghalaya",228
"22","Mizoram",26
"23","Nagaland",100
"24","Odisha",316
"25","Orissa",221
"26","Puducherry",1
"27","Punjab",927
"28","Rajasthan",41
"29","Sikkim",4
"30","Tamil Nadu",128
"31","Telangana",9
"32","Tripura",113
"33","Unknown",153
"34","Uttar Pradesh",166
"35","Uttaranchal",23
"36","West Bengal",533
