State,Attack
Andhra Pradesh,261
Arunachal Pradesh,12
Assam,1061
Bihar,562
Chandigarh,47
Chhattisgarh,654
Delhi,203
Goa,5
Gujarat,62
Haryana,43
Himachal Pradesh,23
Jammu and Kashmir,1993
Jharkhand,706
Karnataka,59
Kerala,58
Madhya Pradesh,57
Maharashtra,261
Manipur,883
Meghalaya,228
Mizoram,26
Nagaland,100
Odisha,316
Orissa,221
Puducherry,1
Punjab,927
Rajasthan,41
Sikkim,4
Tamil Nadu,128
Telangana,9
Tripura,113
Unknown,153
Uttar Pradesh,166
Uttaranchal,23
West Bengal,533
