Sno,Country,total
1,Afghanistan,
2,Albania,
3,Algeria,
4,Andorra,
5,Angola,
6,Antigua and Barbuda,
7,Argentina,
8,Armenia,
9,Australia,
10,Austria,
11,Azerbaijan,
12,Bahamas,
13,Bahrain,
14,Bangladesh,
15,Barbados,
16,Belarus,
17,Belgium,
18,Belize,
19,Benin,
20,Bhutan,
21,Bolivia,
22,Bosnia-Herzegovina,
23,Botswana,
24,Brazil,
25,Brunei,
26,Bulgaria,
27,Burkina Faso,
28,Burundi,
29,Cambodia,
30,Cameroon,
31,Canada,
32,Central African Republic,
33,Chad,
34,Chile,
35,China,
36,Colombia,
37,Comoros,
38,Costa Rica,
39,Croatia,
40,Cuba,
41,Cyprus,
42,Czech Republic,
43,Czechoslovakia,
44,Democratic Republic of the Congo,
45,Denmark,
46,Djibouti,
47,Dominica,
48,Dominican Republic,
49,East Germany (GDR),
50,East Timor,
51,Ecuador,
52,Egypt,
53,El Salvador,
54,Equatorial Guinea,
55,Eritrea,
56,Estonia,
57,Ethiopia,
58,Falkland Islands,
59,Fiji,
60,Finland,
61,France,
62,French Guiana,
63,French Polynesia,
64,Gabon,
65,Gambia,
66,Georgia,
67,Germany,
68,Ghana,
69,Gibraltar,
70,Greece,
71,Grenada,
72,Guadeloupe,
73,Guatemala,
74,Guinea,
75,Guinea-Bissau,
76,Guyana,
77,Haiti,
78,Honduras,
79,Hong Kong,
80,Hungary,
81,Iceland,
82,India,
83,Indonesia,
84,International,
85,Iran,
86,Iraq,
87,Ireland,
88,Israel,
89,Italy,
90,Ivory Coast,
91,Jamaica,
92,Japan,
93,Jordan,
94,Kazakhstan,
95,Kenya,
96,Kosovo,
97,Kuwait,
98,Kyrgyzstan,
99,Laos,
100,Latvia,
101,Lebanon,
102,Lesotho,
103,Liberia,
104,Libya,
105,Lithuania,
106,Luxembourg,
107,Macau,
108,Macedonia,
109,Madagascar,
110,Malawi,
111,Malaysia,
112,Maldives,
113,Mali,
114,Malta,
115,Martinique,
116,Mauritania,
117,Mauritius,
118,Mexico,
119,Moldova,
120,Montenegro,
121,Morocco,
122,Mozambique,
123,Myanmar,
124,Namibia,
125,Nepal,
126,Netherlands,
127,New Caledonia,
128,New Hebrides,
129,New Zealand,
130,Nicaragua,
131,Niger,
132,Nigeria,
133,North Korea,
134,North Yemen,
135,Norway,
136,Pakistan,
137,Panama,
138,Papua New Guinea,
139,Paraguay,
140,People's Republic of the Congo,
141,Peru,
142,Philippines,
143,Poland,
144,Portugal,
145,Qatar,
146,Republic of the Congo,
147,Rhodesia,
148,Romania,
149,Russia,
150,Rwanda,
151,Saudi Arabia,
152,Senegal,
153,Serbia,
154,Serbia-Montenegro,
155,Seychelles,
156,Sierra Leone,
157,Singapore,
158,Slovak Republic,
159,Slovenia,
160,Solomon Islands,
161,Somalia,
162,South Africa,
163,South Korea,
164,South Sudan,
165,South Vietnam,
166,South Yemen,
167,Soviet Union,
168,Spain,
169,Sri Lanka,
170,St. Kitts and Nevis,
171,St. Lucia,
172,Sudan,
173,Suriname,
174,Swaziland,
175,Sweden,
176,Switzerland,
177,Syria,
178,Taiwan,
179,Tajikistan,
180,Tanzania,
181,Thailand,
182,Togo,
183,Trinidad and Tobago,
184,Tunisia,
185,Turkey,
186,Turkmenistan,
187,Uganda,
188,Ukraine,
189,United Arab Emirates,
190,United Kingdom,
191,United States,
192,Uruguay,
193,Uzbekistan,
194,Vanuatu,
195,Vatican City,
196,Venezuela,
197,Vietnam,
198,Wallis and Futuna,
199,West Bank and Gaza Strip,
200,West Germany (FRG),
201,Western Sahara,
202,Yemen,
203,Yugoslavia,
204,Zaire,
205,Zambia,
206,Zimbabwe,
